kill date,kill year,kill month,NZDI,Animal Type,Transport distance (calculated),Processing location,lairage time (calculated),Presentation Grade,Grade,live weight,carcass weight,Teeth,Total number of defects,Yield,Animal Type_num,Grade_num,Presentation Grade_num,Age,Waste,price/kg,price
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,607.5,308.0,2.0,0,50.7,2,4,0,24.0,299.5,5.9,1817.2
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,562.8,303.5,2.0,0,53.9,2,4,0,24.0,259.29999999999995,5.9,1790.65
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,624.2,341.5,2.0,0,54.7,2,4,0,24.0,282.70000000000005,5.9,2014.8500000000001
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,637.8,325.5,2.0,0,51.0,2,4,0,24.0,312.29999999999995,5.9,1920.45
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,1185.3,308.5,2.0,0,26.0,2,4,0,24.0,876.8,5.9,1820.15
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,625.2,299.0,4.0,1,47.8,2,4,0,30.0,326.20000000000005,5.9,1764.1000000000001
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P1,689.3,393.0,4.0,0,57.0,2,3,0,30.0,296.29999999999995,,
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,689.4,367.0,4.0,0,53.2,2,4,0,30.0,322.4,5.9,2165.3
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,619.5,336.0,2.0,0,54.2,2,4,0,24.0,283.5,5.9,1982.4
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,567.3,305.5,2.0,0,53.9,2,4,0,24.0,261.79999999999995,5.9,1802.45
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,663.9,350.5,4.0,1,52.8,2,4,0,30.0,313.4,5.9,2067.9500000000003
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,577.0,306.0,2.0,0,53.0,2,4,0,24.0,271.0,5.9,1805.4
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,615.9,339.0,2.0,0,55.0,2,4,0,24.0,276.9,5.9,2000.1000000000001
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,629.2,350.5,2.0,0,55.7,2,4,0,24.0,278.70000000000005,5.9,2067.9500000000003
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P1,696.9,373.5,2.0,0,53.6,2,3,0,24.0,323.4,,
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,683.2,358.5,2.0,0,52.5,2,4,0,24.0,324.70000000000005,5.9,2115.15
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,566.8,291.0,2.0,0,51.3,2,4,0,24.0,275.79999999999995,5.9,1716.9
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,616.1,326.5,2.0,0,53.0,2,4,0,24.0,289.6,5.9,1926.3500000000001
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,636.9,342.5,2.0,0,53.8,2,4,0,24.0,294.4,5.9,2020.7500000000002
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,650.2,338.5,4.0,1,52.1,2,4,0,30.0,311.70000000000005,5.9,1997.15
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,600.4,313.0,4.0,0,52.1,2,4,0,30.0,287.4,5.9,1846.7
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,592.1,310.0,2.0,0,52.4,2,4,0,24.0,282.1,5.9,1829.0
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,710.3,370.5,4.0,0,52.2,2,4,0,30.0,339.79999999999995,5.9,2185.9500000000003
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,634.1,331.0,2.0,0,52.2,2,4,0,24.0,303.1,5.9,1952.9
