model_name,animal_type,target,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error,n_rows,n_missing_feature_values,best_params
Dummy Regressor,steer,price,MSE,1,Test,13778.036777275966,584,4260,{}
Dummy Regressor,steer,price,MSE,2,Test,13028.053350394612,584,4260,{}
Dummy Regressor,steer,price,MSE,3,Test,20228.472766296054,584,4260,{}
Dummy Regressor,steer,price,MSE,4,Test,17634.41011425362,584,4260,{}
Dummy Regressor,steer,price,MSE,5,Test,14151.945460096014,584,4260,{}
Dummy Regressor,heifer,price,MAE,1,Train,79.23174933518328,233,3066,{}
Dummy Regressor,heifer,price,MAE,2,Train,76.94563533356458,233,3066,{}
Dummy Regressor,heifer,price,MAE,3,Train,77.7223869811539,233,3066,{}
Dummy Regressor,heifer,price,MAE,4,Train,81.79938802939748,233,3066,{}
Dummy Regressor,heifer,price,MAE,5,Train,76.70360033172238,233,3066,{}
Dummy Regressor,heifer,price,MAE,1,Test,76.19633379089454,233,3066,{}
Dummy Regressor,heifer,price,MAE,2,Test,85.0641157629833,233,3066,{}
Dummy Regressor,heifer,price,MAE,3,Test,81.12994166094715,233,3066,{}
Dummy Regressor,heifer,price,MAE,4,Test,65.5683096954197,233,3066,{}
Dummy Regressor,heifer,price,MAE,5,Test,85.21786793768894,233,3066,{}
Dummy Regressor,heifer,price,MSE,1,Train,10337.82065159267,233,3066,{}
Dummy Regressor,heifer,price,MSE,2,Train,10381.72296450457,233,3066,{}
Dummy Regressor,heifer,price,MSE,3,Train,10533.306530885075,233,3066,{}
Dummy Regressor,heifer,price,MSE,4,Train,11084.306474162831,233,3066,{}
Dummy Regressor,heifer,price,MSE,5,Train,9186.493850410367,233,3066,{}
Dummy Regressor,heifer,price,MSE,1,Test,10217.889955533848,233,3066,{}
Dummy Regressor,heifer,price,MSE,2,Test,10034.069033322015,233,3066,{}
Dummy Regressor,heifer,price,MSE,3,Test,9443.89136519134,233,3066,{}
Dummy Regressor,heifer,price,MSE,4,Test,7173.336526883445,233,3066,{}
Dummy Regressor,heifer,price,MSE,5,Test,14926.953498461995,233,3066,{}
Dummy Regressor,cow,Total number of defects,MAE,1,Train,0.7623456790123457,46,1302,{}
Dummy Regressor,cow,Total number of defects,MAE,2,Train,0.7888970051132214,46,1302,{}
Dummy Regressor,cow,Total number of defects,MAE,3,Train,0.7947406866325786,46,1302,{}
Dummy Regressor,cow,Total number of defects,MAE,4,Train,0.8940832724616509,46,1302,{}
Dummy Regressor,cow,Total number of defects,MAE,5,Train,0.8195763330898467,46,1302,{}
Dummy Regressor,cow,Total number of defects,MAE,1,Test,1.0166666666666668,46,1302,{}
Dummy Regressor,cow,Total number of defects,MAE,2,Test,0.9939939939939939,46,1302,{}
Dummy Regressor,cow,Total number of defects,MAE,3,Test,0.9099099099099099,46,1302,{}
Dummy Regressor,cow,Total number of defects,MAE,4,Test,0.48948948948948945,46,1302,{}
Dummy Regressor,cow,Total number of defects,MAE,5,Test,0.8138138138138138,46,1302,{}
Dummy Regressor,cow,Total number of defects,MSE,1,Train,1.0270061728395063,46,1302,{}
Dummy Regressor,cow,Total number of defects,MSE,2,Train,0.856099342585829,46,1302,{}
Dummy Regressor,cow,Total number of defects,MSE,3,Train,1.0533235938641348,46,1302,{}
Dummy Regressor,cow,Total number of defects,MSE,4,Train,1.2096420745069398,46,1302,{}
Dummy Regressor,cow,Total number of defects,MSE,5,Train,1.1234477720964209,46,1302,{}
Dummy Regressor,cow,Total number of defects,MSE,1,Test,1.222993827160494,46,1302,{}
Dummy Regressor,cow,Total number of defects,MSE,2,Test,1.981738495252009,46,1302,{}
Dummy Regressor,cow,Total number of defects,MSE,3,Test,1.1358655953250547,46,1302,{}
Dummy Regressor,cow,Total number of defects,MSE,4,Test,0.45101858615372126,46,1302,{}
Dummy Regressor,cow,Total number of defects,MSE,5,Test,0.8134891648405163,46,1302,{}
Dummy Regressor,steer,Total number of defects,MAE,1,Train,0.777998891966759,594,4265,{}
Dummy Regressor,steer,Total number of defects,MAE,2,Train,0.785187811634349,594,4265,{}
Dummy Regressor,steer,Total number of defects,MAE,3,Train,0.7634349030470914,594,4265,{}
Dummy Regressor,steer,Total number of defects,MAE,4,Train,0.776367867036011,594,4265,{}
Dummy Regressor,steer,Total number of defects,MAE,5,Train,0.773109243697479,594,4265,{}
Dummy Regressor,steer,Total number of defects,MAE,1,Test,0.7743476337903578,594,4265,{}
Dummy Regressor,steer,Total number of defects,MAE,2,Test,0.7711632021229542,594,4265,{}
Dummy Regressor,steer,Total number of defects,MAE,3,Test,0.7923927465723128,594,4265,{}
Dummy Regressor,steer,Total number of defects,MAE,4,Test,0.7662804068996016,594,4265,{}
Dummy Regressor,steer,Total number of defects,MAE,5,Test,0.7772397094430991,594,4265,{}
Dummy Regressor,steer,Total number of defects,MSE,1,Train,1.047640997229917,594,4265,{}
Dummy Regressor,steer,Total number of defects,MSE,2,Train,1.1081927977839339,594,4265,{}
Dummy Regressor,steer,Total number of defects,MSE,3,Train,1.0382271468144046,594,4265,{}
Dummy Regressor,steer,Total number of defects,MSE,4,Train,1.0741983379501385,594,4265,{}
Dummy Regressor,steer,Total number of defects,MSE,5,Train,1.0600240096038416,594,4265,{}
Dummy Regressor,steer,Total number of defects,MSE,1,Test,1.1384713424427937,594,4265,{}
