model_name,feature_set,animal_type,target,measure,Cross-validation,evaluated_on (Train/Test),Score,n_rows,n_defects,n_features,n_missing_feature_values,best_params
Logistic Regression,Non-weather only,heifer,has defects,F1,5,Train,0.6010928961748634,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,F1,1,Test,0.47619047619047616,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,F1,2,Test,0.6296296296296297,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,F1,3,Test,0.5882352941176471,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,F1,4,Test,0.45714285714285713,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,F1,5,Test,0.5238095238095238,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,ROC AUC,1,Train,0.5954954954954955,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,ROC AUC,2,Train,0.5933333333333333,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,ROC AUC,3,Train,0.592012012012012,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,ROC AUC,4,Train,0.636972498814604,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,ROC AUC,5,Train,0.5992261904761905,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,ROC AUC,1,Test,0.5639097744360902,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,ROC AUC,2,Test,0.5676691729323309,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,ROC AUC,3,Test,0.556390977443609,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Non-weather only,heifer,has defects,ROC AUC,4,Test,0.5436507936507937,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
