model_name,feature_set,animal_type,target,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error,n_rows,n_features,n_missing_feature_values,best_params
ElasticNet,Non-weather only,heifer,carcass weight,MSE,4,Test,172.82849562437355,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MSE,5,Test,446.44243590808435,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,steer,price,MAE,1,Train,92.58900277879265,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MAE,2,Train,91.14690055201571,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MAE,3,Train,88.17484615394865,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MAE,4,Train,88.5462034664469,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MAE,5,Train,91.22371113013826,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MAE,1,Test,82.98872798583317,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MAE,2,Test,88.04118403842351,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MAE,3,Test,99.87113907448118,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MAE,4,Test,98.57430734647288,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MAE,5,Test,87.26361150758373,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MSE,1,Train,14030.798948296047,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MSE,2,Train,14154.58369500107,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MSE,3,Train,12704.55217201263,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MSE,4,Train,13323.140853858938,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MSE,5,Train,14174.5006334488,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MSE,1,Test,12430.044616132938,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MSE,2,Test,12069.79409312198,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MSE,3,Test,17666.534613143624,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MSE,4,Test,15297.16752763451,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,steer,price,MSE,5,Test,11782.601784668264,584,4,292,"{'imputer_strategy': 'median', 'alpha': 0.042518180242236046, 'l1_ratio': 0.39862477909362815}"
ElasticNet,Non-weather only,heifer,price,MAE,1,Train,67.27371497176458,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
