model_name,animal_type,target,measure,Cross-validation,evaluated_on (Train/Test),Score,n_rows,n_defects,best_params
Logistic Regression,steer,has defects,F1,3,Train,0.7005988023952096,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,F1,4,Train,0.6966966966966966,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,F1,5,Train,0.6900584795321637,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,F1,1,Test,0.625,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,F1,2,Test,0.7272727272727273,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,F1,3,Test,0.6666666666666666,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,F1,4,Test,0.6823529411764706,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,F1,5,Test,0.6976744186046512,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,ROC AUC,1,Train,0.8557157258064516,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,ROC AUC,2,Train,0.8217237903225807,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,ROC AUC,3,Train,0.8370766129032258,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,ROC AUC,4,Train,0.835625,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,ROC AUC,5,Train,0.8365184294871795,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,ROC AUC,1,Test,0.7158653846153846,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,ROC AUC,2,Test,0.8389423076923077,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,ROC AUC,3,Test,0.7823717948717949,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
